date,calls,p_c_ratio,puts,total
2009-04-01,2056988,0.9,1860170,3917158
2009-04-02,3536205,0.69,2445102,5981307
2009-04-03,2333927,0.82,1925279,4259206
2009-04-06,1907727,0.95,1809174,3716901
2009-04-07,2067302,0.96,1978996,4046298
2009-04-08,1978165,0.85,1682554,3660719
2009-04-09,3387640,0.8,2699577,6087217
2009-04-13,3338169,0.67,2251176,5589345
2009-04-14,3525906,0.77,2699257,6225163
2009-04-15,2888461,0.92,2668629,5557090
2009-04-16,3806716,0.75,2860448,6667164
2009-04-17,4077768,0.72,2926524,7004292
2009-04-20,3045306,0.92,2800273,5845579
2009-04-21,2673809,0.84,2239573,4913382
2009-04-22,2852179,0.78,2218121,5070300
2009-04-23,2198216,0.9,1985409,4183625
2009-04-24,2598304,0.84,2189680,4787984
2009-04-27,2454165,0.81,1991372,4445537
2009-04-28,2050615,0.89,1830452,3881067
2009-04-29,2466675,0.78,1922184,4388859
2009-04-30,2541955,0.94,2400541,4942496
2009-05-01,1991394,0.85,1684121,3675515
2009-05-04,2886015,0.75,2159551,5045566
2009-05-05,2781652,0.71,1961162,4742814
2009-05-06,3808852,0.77,2948244,6757096
2009-05-07,3896629,0.82,3179303,7075932
2009-05-08,3394087,0.87,2962981,6357068
2009-05-11,2684679,0.86,2296183,4980862
2009-05-12,3037904,0.86,2607590,5645494
2009-05-13,3244626,0.87,2818431,6063057
2009-05-14,3178070,0.87,2758207,5936277
2009-05-15,2933034,0.8,2358335,5291369
2009-05-18,2418082,0.77,1873488,4291570
2009-05-19,2424990,0.81,1976198,4401188
2009-05-20,2897598,0.85,2473777,5371375
2009-05-21,2378198,0.97,2314980,4693178
2009-05-22,1756642,0.8,1411852,3168494
2009-05-26,2156359,0.72,1555614,3711973
2009-05-27,2210531,0.86,1893056,4103587
2009-05-28,2349561,0.76,1777183,4126744
2009-05-29,2105719,0.77,1625749,3731468
2009-06-01,3196528,0.77,2471870,5668398
2009-06-02,2296574,0.84,1934529,4231103
2009-06-03,2073014,0.96,1989986,4063000
2009-06-04,2055121,0.88,1809300,3864421
2009-06-05,2199198,0.81,1780618,3979816
2009-06-08,1781880,0.93,1660838,3442718
2009-06-09,2002996,0.87,1735983,3738979
2009-06-10,2294098,0.87,2002429,4296527
2009-06-11,2666316,0.77,2045102,4711418
2009-06-12,2162490,0.87,1880011,4042501
2009-06-15,2622871,0.81,2124700,4747571
2009-06-16,2495648,1.01,2521118,5016766
2009-06-17,2701902,1.14,3083463,5785365
2009-06-18,2553488,0.93,2375896,4929384
2009-06-19,3039973,0.86,2611502,5651475
2009-06-22,2198069,0.94,2065150,4263219
2009-06-23,1895438,1,1891697,3787135
2009-06-24,1859704,0.86,1591977,3451681
2009-06-25,1911669,0.9,1727314,3638983
2009-06-26,1587649,0.82,1308645,2896294
2009-06-29,1593878,0.78,1246053,2839931
2009-06-30,1686366,1.07,1803072,3489438
2009-07-01,1707915,0.8,1362835,3070750
2009-07-02,1688622,1.06,1786968,3475590
2009-07-06,1834610,0.87,1596389,3430999
2009-07-07,1946056,1.01,1973589,3919645
2009-07-08,2477391,1.04,2565264,5042655
2009-07-09,1678061,1.07,1787922,3465983
2009-07-10,1716943,1.07,1829114,3546057
2009-07-13,2436796,0.83,2021000,4457796
2009-07-14,2181314,0.84,1822082,4003396
2009-07-15,3777205,0.77,2897334,6674539
2009-07-16,3327790,0.75,2486844,5814634
2009-07-17,3397086,0.73,2493914,5891000
2009-07-20,2859268,0.7,1999988,4859256
2009-07-21,2094762,0.8,1671262,3766024
2009-07-22,2070802,0.98,2039485,4110287
2009-07-23,3002372,0.88,2645441,5647813
2009-07-24,1905395,0.93,1774286,3679681
2009-07-27,1857015,0.79,1466418,3323433
2009-07-28,2193751,0.81,1785367,3979118
2009-07-29,2129121,0.92,1966380,4095501
2009-07-30,3236282,0.67,2164078,5400360
2009-07-31,1873353,0.84,1578645,3451998
2009-08-03,2383429,0.76,1818409,4201838
2009-08-04,2304069,0.81,1860492,4164561
2009-08-05,2754254,0.74,2026114,4780368
2009-08-06,2341724,0.91,2126333,4468057
2009-08-07,3065672,0.73,2223701,5289373
2009-08-10,1968109,0.76,1487374,3455483
2009-08-11,2407053,0.77,1857952,4265005
2009-08-12,2248344,0.92,2079587,4327931
2009-08-13,2385440,0.78,1852313,4237753
2009-08-14,2110010,0.95,2006039,4116049
2009-08-17,2376347,0.99,2354694,4731041
2009-08-18,2200262,0.93,2042061,4242323
2009-08-19,2521133,0.97,2436330,4957463
2009-08-20,3016989,0.71,2153151,5170140
2009-08-21,3752903,0.59,2228502,5981405
2009-08-24,2685593,0.73,1954811,4640404
2009-08-25,2255185,0.81,1821032,4076217
2009-08-26,1742900,1.04,1819022,3561922
2009-08-27,2417333,0.81,1960185,4377518
2009-08-28,2476607,0.76,1886719,4363326
2009-08-31,1843940,0.89,1639192,3483132
2009-09-01,3024768,0.93,2813951,5838719
2009-09-02,2409683,0.92,2209621,4619304
2009-09-03,2148948,0.93,1996019,4144967
2009-09-04,1947920,0.89,1729961,3677881
2009-09-08,2301611,0.79,1825341,4126952
2009-09-09,2688480,0.86,2301684,4990164
2009-09-10,2472863,0.9,2235336,4708199
2009-09-11,2695840,0.88,2360414,5056254
2009-09-14,2456070,0.8,1968754,4424824
2009-09-15,3188689,0.76,2422023,5610712
2009-09-16,4365406,0.66,2898572,7263978
2009-09-17,4037949,0.78,3154884,7192833
2009-09-18,2908019,0.86,2497405,5405424
2009-09-21,2295871,0.74,1707767,4003638
2009-09-22,2244886,0.76,1705358,3950244
2009-09-23,2766176,0.89,2455522,5221698
2009-09-24,2309602,0.99,2287677,4597279
2009-09-25,1987671,0.96,1915464,3903135
2009-09-28,1302490,1,1301181,2603671
2009-09-29,1734383,0.86,1489925,3224308
2009-09-30,2049441,1.11,2284058,4333499
2009-10-01,2608190,0.97,2517287,5125477
2009-10-02,2371502,1.11,2631265,5002767
2009-10-05,1919900,0.8,1537042,3456942
2009-10-06,2558737,0.77,1980967,4539704
2009-10-07,1985991,0.78,1549024,3535015
2009-10-08,2779091,0.72,2001204,4780295
2009-10-09,2010051,0.79,1582962,3593013
2009-10-12,2113122,0.82,1738701,3851823
2009-10-13,2357442,0.81,1902799,4260241
2009-10-14,3600385,0.69,2487870,6088255
2009-10-15,3394993,0.69,2341914,5736907
2009-10-16,3458363,0.76,2632179,6090542
2009-10-19,2365893,0.9,2130163,4496056
2009-10-20,2128313,0.91,1936296,4064609
2009-10-21,2579236,0.94,2426117,5005353
2009-10-22,2379868,0.81,1932617,4312485
2009-10-23,2107199,0.85,1798548,3905747
2009-10-26,2309854,0.88,2029914,4339768
2009-10-27,2065053,1.01,2087601,4152654
2009-10-28,2662612,1.1,2933293,5595905
2009-10-29,2272050,0.84,1915997,4188047
2009-10-30,2568775,1.21,3119754,5688529
2009-11-02,2788782,1.03,2882449,5671231
2009-11-03,2125748,0.93,1975134,4100882
2009-11-04,2480290,0.82,2027552,4507842
2009-11-05,2086189,0.88,1826148,3912337
2009-11-06,2069192,1.03,2141611,4210803
2009-11-09,2509872,0.87,2193970,4703842
2009-11-10,1977101,0.83,1648400,3625501
2009-11-11,2334972,0.89,2086971,4421943
2009-11-12,2183563,0.85,1853741,4037304
2009-11-13,1776304,1.01,1793243,3569547
2009-11-16,2686118,0.84,2255596,4941714
2009-11-17,2190125,0.88,1930327,4120452
2009-11-18,2582110,0.83,2152169,4734279
2009-11-19,2609387,0.99,2594892,5204279
2009-11-20,2652695,0.91,2412609,5065304
2009-11-23,2656325,0.67,1780593,4436918
2009-11-24,1797843,0.88,1579029,3376872
2009-11-25,1689253,0.84,1426588,3115841
2009-11-27,1367987,1.05,1430200,2798187
2009-11-30,1779386,1.04,1846419,3625805
2009-12-01,2263061,0.85,1915669,4178730
2009-12-02,2071552,0.87,1795845,3867397
2009-12-03,2909220,0.67,1962587,4871807
2009-12-04,3028946,0.84,2558243,5587189
2009-12-07,1804264,0.89,1603441,3407705
2009-12-08,2476992,0.89,2216115,4693107
2009-12-09,2153989,0.95,2051674,4205663
2009-12-10,2216459,0.88,1959312,4175771
2009-12-11,2071292,0.89,1852518,3923810
2009-12-14,2321533,0.87,2025978,4347511
2009-12-15,2942427,0.75,2209707,5152134
2009-12-16,3128684,0.87,2714379,5843063
2009-12-17,3609654,0.89,3215384,6825038
2009-12-18,3005850,0.95,2864332,5870182
2009-12-21,2733202,0.62,1689014,4422216
2009-12-22,2782560,0.6,1673606,4456166
2009-12-23,1861104,0.81,1515242,3376346
2009-12-24,967455,0.7,672713,1640168
2009-12-28,1574745,0.77,1217494,2792239
2009-12-29,1518152,0.9,1359310,2877462
2009-12-30,1573941,0.77,1216013,2789954
2009-12-31,1365260,0.9,1227940,2593200
2010-01-04,2398697,0.68,1640657,4039354
2010-01-05,2684471,0.71,1910399,4594870
2010-01-06,2529387,0.69,1751705,4281092
2010-01-07,2814573,0.7,1975682,4790255
2010-01-08,2750361,0.64,1766507,4516868
2010-01-11,2863977,0.67,1923508,4787485
2010-01-12,2945058,0.8,2344426,5289484
2010-01-13,2949526,0.81,2382663,5332189
2010-01-14,2831438,0.75,2122924,4954362
2010-01-15,3356352,0.82,2764283,6120635
2010-01-19,2779050,0.73,2020359,4799409
2010-01-20,2414531,0.94,2267676,4682207
2010-01-21,2941799,0.93,2743988,5685787
2010-01-22,3146103,1.07,3362639,6508742
2010-01-25,2092331,0.98,2044384,4136715
2010-01-26,2376034,0.84,2004091,4380125
2010-01-27,2385465,0.95,2264450,4649915
2010-01-28,2369524,0.8,1894715,4264239
2010-01-29,2180954,0.99,2165823,4346777
2010-02-01,2269431,0.74,1689723,3959154
2010-02-02,2230842,0.86,1914961,4145803
2010-02-03,1976341,0.84,1666540,3642881
2010-02-04,2608319,1.06,2774822,5383141
2010-02-05,2765247,1.22,3360548,6125795
2010-02-08,1625804,0.99,1617632,3243436
2010-02-09,2142663,0.98,2089595,4232258
2010-02-10,1744568,0.94,1641069,3385637
2010-02-11,2221553,0.88,1960424,4181977
2010-02-12,1859150,0.9,1664684,3523834
2010-02-16,2419336,0.88,2121501,4540837
2010-02-17,2736540,0.92,2506257,5242797
2010-02-18,3018027,0.78,2362852,5380879
2010-02-19,2768529,0.85,2356602,5125131
2010-02-22,2207663,0.82,1816630,4024293
2010-02-23,2054603,1.04,2130473,4185076
2010-02-24,1894739,0.84,1582369,3477108
2010-02-25,1855178,1.03,1911419,3766597
2010-02-26,1665617,0.86,1438566,3104183
2010-03-01,2096413,0.95,1988635,4085048
2010-03-02,2482887,0.78,1948070,4430957
2010-03-03,2071723,0.87,1799545,3871268
2010-03-04,2011359,1,2006624,4017983
2010-03-05,2747412,0.82,2256740,5004152
2010-03-08,2087883,0.91,1904587,3992470
2010-03-09,3157911,0.68,2161369,5319280
2010-03-10,3181968,0.82,2594423,5776391
2010-03-11,2437995,0.91,2216256,4654251
2010-03-12,2460335,0.85,2088043,4548378
2010-03-15,2153391,0.79,1696748,3850139
2010-03-16,2856368,0.76,2175656,5032024
2010-03-17,3650245,0.85,3104786,6755031
2010-03-18,2874782,0.77,2218661,5093443
2010-03-19,2786377,0.97,2699631,5486008
2010-03-22,2217751,0.9,1990551,4208302
2010-03-23,2842682,0.65,1852352,4695034
2010-03-24,2124432,0.92,1947181,4071613
2010-03-25,2707152,0.84,2274366,4981518
2010-03-26,2084169,0.92,1916103,4000272
2010-03-29,1989635,0.86,1704685,3694320
2010-03-30,1743904,0.85,1486926,3230830
2010-03-31,1973539,0.84,1659493,3633032
2010-04-01,2000331,0.88,1753342,3753673
2010-04-05,1997187,0.78,1561903,3559090
2010-04-06,2633879,0.73,1927880,4561759
2010-04-07,2750713,0.9,2466701,5217414
2010-04-08,2327802,0.78,1820512,4148314
2010-04-09,2806214,0.71,1996063,4802277
2010-04-12,2839664,0.67,1905373,4745037
2010-04-13,3063537,0.72,2191257,5254794
2010-04-14,4489357,0.55,2479754,6969111
2010-04-15,4596086,0.69,3178724,7774810
2010-04-16,4809127,0.85,4091252,8900379
2010-04-19,3372612,0.89,2991782,6364394
2010-04-20,2572241,0.89,2291980,4864221
2010-04-21,2760530,0.89,2455962,5216492
2010-04-22,2963922,0.74,2206390,5170312
2010-04-23,2615745,0.71,1855543,4471288
2010-04-26,2741992,0.67,1826382,4568374
2010-04-27,3232511,0.88,2850182,6082693
2010-04-28,2675794,0.82,2198724,4874518
2010-04-29,2787131,0.72,2007057,4794188
2010-04-30,2595867,1.04,2695849,5291716
2010-05-03,2461341,0.79,1940577,4401918
2010-05-04,3505892,0.99,3457206,6963098
2010-05-05,3324904,1.13,3764876,7089780
2010-05-06,5236692,1.02,5334876,10571568
2010-05-07,4444988,1.2,5338538,9783526
2010-05-10,3287054,0.99,3255915,6542969
2010-05-11,2661256,1.07,2846182,5507438
2010-05-12,2836435,0.85,2419641,5256076
2010-05-13,2632824,0.85,2250743,4883567
2010-05-14,3372997,1.12,3767713,7140710
2010-05-17,2854257,1.01,2872301,5726558
2010-05-18,3059185,1,3067336,6126521
2010-05-19,3279732,1.37,4492914,7772646
2010-05-20,4077179,1.5,6114714,10191893
2010-05-21,4009216,1.28,5131599,9140815
2010-05-24,2341059,0.92,2163323,4504382
2010-05-25,2814533,1.11,3120420,5934953
2010-05-26,2639580,1.03,2711962,5351542
2010-05-27,2297270,1.01,2313730,4611000
2010-05-28,1748895,1.2,2099478,3848373
2010-06-01,1779981,0.9,1603475,3383456
2010-06-02,2128270,0.9,1917693,4045963
2010-06-03,1951397,1.07,2086668,4038065
2010-06-04,2306488,0.99,2274043,4580531
2010-06-07,2235451,0.97,2173462,4408913
2010-06-08,2407887,1.14,2750572,5158459
2010-06-09,2238734,1.05,2348285,4587019
2010-06-10,2325486,1,2334691,4660177
2010-06-11,1717996,1.08,1847049,3565045
2010-06-14,2026977,1.07,2178728,4205705
2010-06-15,2463124,0.84,2079726,4542850
2010-06-16,2385582,0.94,2243583,4629165
2010-06-17,2292983,0.9,2072059,4365042
2010-06-18,2460171,0.86,2124896,4585067
2010-06-21,2281108,0.91,2068837,4349945
2010-06-22,1793797,1.04,1862303,3656100
2010-06-23,1479274,1.09,1615293,3094567
2010-06-24,1852902,1.29,2399440,4252342
2010-06-25,1681874,0.89,1496902,3178776
2010-06-28,1365972,0.78,1067543,2433515
2010-06-29,2453137,1.09,2671871,5125008
2010-06-30,1837796,1.08,1983970,3821766
2010-07-01,2549874,1.24,3172426,5722300
2010-07-02,1505454,0.89,1340988,2846442
2010-07-06,1758761,1.2,2112420,3871181
2010-07-07,2013220,0.87,1744029,3757249
2010-07-08,1860427,0.81,1500177,3360604
2010-07-09,1953049,0.84,1631075,3584124
2010-07-12,1756002,0.97,1695719,3451721
2010-07-13,2939984,0.8,2356601,5296585
2010-07-14,2391481,0.91,2171222,4562703
2010-07-15,2333132,0.87,2022291,4355423
2010-07-16,2623235,1.06,2776372,5399607
2010-07-19,2187548,0.7,1537133,3724681
2010-07-20,2086238,0.84,1753597,3839835
2010-07-21,1803126,0.99,1782884,3586010
2010-07-22,2347332,0.81,1895601,4242933
2010-07-23,1795049,0.83,1493929,3288978
2010-07-26,1800110,0.95,1710519,3510629
2010-07-27,1979322,0.81,1607857,3587179
2010-07-28,1451574,0.95,1373627,2825201
2010-07-29,1745593,0.96,1668299,3413892
2010-07-30,1499824,0.8,1196280,2696104
2010-08-02,1933163,0.9,1742869,3676032
2010-08-03,1604692,0.85,1365272,2969964
2010-08-04,1763886,0.81,1434099,3197985
2010-08-05,1494374,0.94,1402809,2897183
2010-08-06,1752428,0.89,1566143,3318571
2010-08-09,1430781,0.8,1148529,2579310
2010-08-10,1663289,1,1663697,3326986
2010-08-11,2200143,1.05,2311385,4511528
2010-08-12,1987545,0.98,1939459,3927004
2010-08-13,1386582,1,1385983,2772565
2010-08-16,1595450,0.9,1439770,3035220
2010-08-17,1944301,0.97,1894310,3838611
2010-08-18,1987536,1.2,2383751,4371287
2010-08-19,2371459,0.96,2281159,4652618
2010-08-20,2354863,1.03,2423517,4778380
2010-08-23,2186732,0.71,1559604,3746336
2010-08-24,1926593,0.96,1841138,3767731
2010-08-25,1887021,1,1896176,3783197
2010-08-26,1642927,0.93,1530595,3173522
2010-08-27,1909321,0.82,1562782,3472103
2010-08-30,1229984,0.95,1171223,2401207
2010-08-31,1485801,0.91,1350734,2836535
2010-09-01,2288131,0.82,1866954,4155085
2010-09-02,1754846,0.87,1534692,3289538
2010-09-03,1932423,0.94,1819347,3751770
2010-09-07,1352888,1.31,1774949,3127837
2010-09-08,1775531,0.93,1649328,3424859
2010-09-09,1640961,1.05,1716077,3357038
2010-09-10,1572583,1.22,1921523,3494106
2010-09-13,2373690,0.81,1924363,4298053
2010-09-14,2275107,0.89,2029312,4304419
2010-09-15,2498942,0.94,2342954,4841896
2010-09-16,2550274,0.83,2105220,4655494
2010-09-17,2472494,0.9,2218335,4690829
2010-09-20,2356639,0.78,1831857,4188496
2010-09-21,2040594,0.94,1917015,3957609
2010-09-22,1831932,0.95,1744668,3576600
2010-09-23,1764344,0.93,1642363,3406707
2010-09-24,1974882,0.84,1659538,3634420
2010-09-27,1503853,0.83,1247366,2751219
2010-09-28,1672510,1,1669847,3342357
2010-09-29,1910492,0.77,1466232,3376724
2010-09-30,2103664,0.83,1754002,3857666
2010-10-01,2123533,0.76,1619199,3742732
2010-10-04,1691025,0.81,1377833,3068858
2010-10-05,2584594,0.85,2193016,4777610
2010-10-06,2166573,0.84,1826899,3993472
2010-10-07,1964663,1.05,2054364,4019027
2010-10-08,2242798,0.84,1893801,4136599
2010-10-11,2110559,0.81,1701622,3812181
2010-10-12,2171476,1.1,2395041,4566517
2010-10-13,3713441,0.73,2702291,6415732
2010-10-14,3330184,0.81,2698916,6029100
2010-10-15,3692271,0.72,2655191,6347462
2010-10-18,2384765,0.83,1984421,4369186
2010-10-19,2428496,0.92,2238485,4666981
2010-10-20,2314178,0.98,2278990,4593168
2010-10-21,2106809,0.96,2021157,4127966
2010-10-22,1731169,0.88,1530356,3261525
2010-10-25,1979659,0.9,1783402,3763061
2010-10-26,1989973,0.89,1761814,3751787
2010-10-27,2098074,0.84,1753868,3851942
2010-10-28,2089698,0.85,1778275,3867973
2010-10-29,1996294,0.89,1783942,3780236
2010-11-01,1955333,0.86,1678570,3633903
2010-11-02,2014005,0.78,1574099,3588104
2010-11-03,2394424,0.88,2118444,4512868
2010-11-04,4184965,0.76,3194904,7379869
2010-11-05,3490755,0.67,2352561,5843316
2010-11-08,2255113,0.69,1556916,3812029
2010-11-09,2732690,0.83,2279904,5012594
2010-11-10,2447230,0.71,1737829,4185059
2010-11-11,2331019,0.75,1737120,4068139
2010-11-12,2700599,1,2708339,5408938
2010-11-15,2222202,0.77,1710792,3932994
2010-11-16,3183996,0.92,2944585,6128581
2010-11-17,2476858,0.89,2199574,4676432
2010-11-18,2849309,0.81,2321750,5171059
2010-11-19,3227943,0.66,2141897,5369840
2010-11-22,2193364,0.77,1690699,3884063
2010-11-23,1971601,0.92,1818649,3790250
2010-11-24,1708333,1.05,1788396,3496729
2010-11-26,916040,0.83,762209,1678249
2010-11-29,1686008,0.96,1624693,3310701
2010-11-30,1933479,0.86,1660235,3593714
2010-12-01,2277361,0.79,1807499,4084860
2010-12-02,2706319,0.69,1860463,4566782
2010-12-03,2187635,0.76,1669874,3857509
2010-12-06,2118763,0.71,1506939,3625702
2010-12-07,2940758,0.73,2138889,5079647
2010-12-08,2277515,0.71,1609940,3887455
2010-12-09,2586022,0.69,1791441,4377463
2010-12-10,2574807,0.73,1891025,4465832
2010-12-13,3100217,0.55,1709740,4809957
2010-12-14,2612866,0.82,2139918,4752784
2010-12-15,2651190,0.66,1744342,4395532
2010-12-16,2896303,0.85,2467870,5364173
2010-12-17,2906263,0.74,2163323,5069586
2010-12-20,2366349,0.73,1730890,4097239
2010-12-21,2069347,0.7,1439066,3508413
2010-12-22,2071491,0.8,1656682,3728173
2010-12-23,1444159,0.85,1220402,2664561
2010-12-27,1167788,0.74,865931,2033719
2010-12-28,1328782,0.76,1014055,2342837
2010-12-29,1335015,0.74,985139,2320154
2010-12-30,1570262,0.7,1093640,2663902
2010-12-31,1152810,0.97,1117574,2270384
2011-01-03,2971674,0.64,1892324,4863998
2011-01-04,2782914,0.63,1750171,4533085
2011-01-05,2769254,0.69,1923553,4692807
2011-01-06,3083030,0.71,2192696,5275726
2011-01-07,2727605,0.87,2380489,5108094
2011-01-10,2145607,0.78,1669642,3815249
2011-01-11,2382716,0.83,1976117,4358833
2011-01-12,2927236,0.81,2379940,5307176
2011-01-13,2945586,0.7,2075288,5020874
2011-01-14,3829545,0.58,2207222,6036767
2011-01-18,3452294,0.71,2440940,5893234
2011-01-19,3769319,0.82,3097741,6867060
2011-01-20,3371776,0.91,3075061,6446837
2011-01-21,3500453,0.79,2770037,6270490
2011-01-24,2450958,0.73,1783728,4234686
2011-01-25,2381845,0.92,2189290,4571135
2011-01-26,2399007,0.9,2170980,4569987
2011-01-27,2284138,1,2278889,4563027
2011-01-28,2942628,1.05,3081294,6023922
2011-01-31,2112462,1,2102362,4214824
2011-02-01,3081086,0.8,2464665,5545751
2011-02-02,2281641,0.75,1715456,3997097
2011-02-03,2350966,0.86,2025414,4376380
2011-02-04,2330053,0.87,2038106,4368159
2011-02-07,2608190,0.79,2053193,4661383
2011-02-08,2222308,0.81,1791284,4013592
2011-02-09,2515441,0.85,2139620,4655061
2011-02-10,2685757,0.78,2105063,4790820
2011-02-11,2915309,0.78,2277484,5192793
2011-02-14,2358063,0.85,2007587,4365650
2011-02-15,2438286,0.82,2009888,4448174
2011-02-16,3038728,0.91,2774020,5812748
2011-02-17,3050176,0.72,2193038,5243214
2011-02-18,3104212,0.9,2805913,5910125
2011-02-22,2940603,0.96,2830499,5771102
2011-02-23,3296594,0.95,3146607,6443201
2011-02-24,2509037,0.98,2454371,4963408
2011-02-25,2250540,0.82,1850647,4101187
2011-02-28,1959816,0.83,1631427,3591243
2011-03-01,2228609,0.93,2078514,4307123
2011-03-02,2194861,0.79,1739624,3934485
2011-03-03,2274518,0.85,1944368,4218886
2011-03-04,2609972,0.79,2061385,4671357
2011-03-07,2265691,0.91,2051849,4317540
2011-03-08,2233633,0.86,1919729,4153362
2011-03-09,2016329,0.86,1725648,3741977
2011-03-10,2918823,1.03,3017604,5936427
2011-03-11,2185347,1.06,2307252,4492599
2011-03-14,2371206,0.94,2240454,4611660
2011-03-15,3822948,1.06,4048008,7870956
2011-03-16,3703915,1.18,4378326,8082241
2011-03-17,2877197,1.04,3005208,5882405
2011-03-18,2990978,0.97,2893320,5884298
2011-03-21,2694554,0.74,1989449,4684003
2011-03-22,2185785,0.76,1658913,3844698
2011-03-23,2101198,0.84,1773856,3875054
2011-03-24,2355659,0.86,2025902,4381561
2011-03-25,2599380,0.82,2124014,4723394
2011-03-28,1679475,0.83,1389805,3069280
2011-03-29,1777502,0.74,1314314,3091816
2011-03-30,2342260,0.76,1769766,4112026
2011-03-31,1896724,0.86,1633466,3530190
2011-04-01,2342142,0.9,2103664,4445806
2011-04-04,1656373,1.04,1718662,3375035
2011-04-05,2063912,0.81,1674042,3737954
2011-04-06,2245036,0.68,1536818,3781854
2011-04-07,2099698,0.88,1852606,3952304
2011-04-08,2400059,0.86,2061520,4461579
2011-04-11,1939962,0.96,1868038,3808000
2011-04-12,2500332,1.1,2741612,5241944
2011-04-13,2365387,0.87,2058078,4423465
2011-04-14,2552306,0.97,2484992,5037298
2011-04-15,2841797,0.93,2645342,5487139
2011-04-18,2434208,0.85,2070786,4504994
2011-04-19,2104079,0.89,1879352,3983431
2011-04-20,2819590,0.92,2598374,5417964
2011-04-21,2341004,0.92,2142178,4483182
2011-04-25,1603872,0.74,1187224,2791096
2011-04-26,2218030,0.86,1903053,4121083
2011-04-27,2221559,0.87,1939714,4161273
2011-04-28,2510310,0.82,2068666,4578976
2011-04-29,2291178,0.92,2102233,4393411
2011-05-02,2058930,0.83,1703154,3762084
2011-05-03,2422149,0.89,2145306,4567455
2011-05-04,2283051,1.01,2308253,4591304
2011-05-05,2539713,1.06,2691810,5231523
2011-05-06,2301163,0.97,2225311,4526474
2011-05-09,1624504,0.79,1279799,2904303
2011-05-10,1844442,0.8,1467471,3311913
2011-05-11,2068086,0.95,1973656,4041742
2011-05-12,2225101,0.86,1913775,4138876
2011-05-13,1999159,0.92,1836169,3835328
2011-05-16,2067984,0.94,1954032,4022016
2011-05-17,2323361,1.14,2656563,4979924
2011-05-18,2283280,0.96,2200458,4483738
2011-05-19,2292010,0.96,2198237,4490247
2011-05-20,2394177,1.05,2502535,4896712
2011-05-23,1902390,1.04,1972795,3875185
2011-05-24,1798131,0.8,1446080,3244211
2011-05-25,1900151,0.73,1388428,3288579
2011-05-26,1677152,0.91,1531794,3208946
2011-05-27,1957817,0.71,1390611,3348428
2011-05-31,1932344,0.76,1475997,3408341
2011-06-01,2078525,1.09,2271541,4350066
2011-06-02,1877282,1.06,1993207,3870489
2011-06-03,1797233,1.23,2201917,3999150
2011-06-06,1985793,1.11,2210217,4196010
2011-06-07,1782075,1.05,1879502,3661577
2011-06-08,2129179,1.16,2473065,4602244
2011-06-09,1714196,1.02,1749982,3464178
2011-06-10,2213798,1.17,2598062,4811860
2011-06-13,2014856,1.07,2155627,4170483
2011-06-14,2173424,1.02,2210835,4384259
2011-06-15,2537896,1.37,3486912,6024808
2011-06-16,2994874,1.12,3342571,6337445
2011-06-17,2484466,1.2,2992120,5476586
2011-06-20,1901427,0.88,1667938,3569365
2011-06-21,2223820,0.95,2104210,4328030
2011-06-22,1829626,0.84,1533857,3363483
2011-06-23,2399792,1.03,2483433,4883225
2011-06-24,1597652,1.07,1706814,3304466
2011-06-27,1859016,0.84,1570563,3429579
2011-06-28,2006558,0.9,1805224,3811782
2011-06-29,2014049,1.02,2055741,4069790
2011-06-30,2387781,0.93,2217993,4605774
2011-07-01,2551444,0.86,2206246,4757690
2011-07-05,1682662,1.11,1865556,3548218
2011-07-06,1563986,1.04,1626781,3190767
2011-07-07,2637058,0.84,2227631,4864689
2011-07-08,1831536,1.01,1852668,3684204
2011-07-11,2140973,1.15,2466479,4607452
2011-07-12,2047603,1.09,2231319,4278922
2011-07-13,2031933,1,2033104,4065037
2011-07-14,2613371,1.05,2740518,5353889
2011-07-15,2624322,1.07,2819363,5443685
2011-07-18,2280024,0.95,2154925,4434949
2011-07-19,2775004,0.67,1855931,4630935
2011-07-20,2269894,0.79,1789622,4059516
2011-07-21,2858609,0.75,2139763,4998372
2011-07-22,1978052,0.84,1670071,3648123
2011-07-25,1592718,0.91,1454637,3047355
2011-07-26,1852034,0.8,1475613,3327647
2011-07-27,2549275,1.1,2812654,5361929
2011-07-28,2213290,0.91,2022110,4235400
2011-07-29,2511161,1.17,2926502,5437663
2011-08-01,2147897,1.13,2435688,4583585
2011-08-02,2739767,1.15,3150457,5890224
2011-08-03,2885820,1.28,3692386,6578206
2011-08-04,4294741,1.3,5566687,9861428
2011-08-05,4916352,1.21,5964374,10880726
2011-08-08,4650457,1.35,6267084,10917541
2011-08-09,4022429,1.39,5591919,9614348
2011-08-10,3394972,1.21,4092883,7487855
2011-08-11,3523436,1.01,3545461,7068897
2011-08-12,2525688,1.08,2725357,5251045
2011-08-15,2359483,1.12,2635195,4994678
2011-08-16,2368771,1.05,2496109,4864880
2011-08-17,2317465,1.34,3103704,5421169
2011-08-18,3286087,1.48,4860614,8146701
2011-08-19,2751555,1.33,3666071,6417626
2011-08-22,2070584,1.09,2250543,4321127
2011-08-23,2433351,1.02,2492882,4926233
2011-08-24,1957770,1.18,2312881,4270651
2011-08-25,2074119,1.26,2618204,4692323
2011-08-26,2292438,1.17,2677983,4970421
2011-08-29,2044483,0.99,2022987,4067470
