date,calls,p_c_ratio,puts,total
2007-05-24,1656461,1.14,1894170,3550631
2007-05-25,1207772,1.03,1249874,2457646
2007-05-29,1190351,0.91,1081372,2271723
2007-05-30,1580986,0.92,1462017,3043003
2007-05-31,1873031,0.93,1743700,3616731
2007-06-01,1599149,0.89,1426097,3025246
2007-06-04,1413817,0.9,1271975,2685792
2007-06-05,2021287,0.98,1986997,4008284
2007-06-06,1802120,1.12,2017781,3819901
2007-06-07,2207154,1.24,2743070,4950224
2007-06-08,1799500,1.13,2034080,3833580
2007-06-11,1649814,1.08,1785555,3435369
2007-06-12,2127683,1.09,2314279,4441962
2007-06-13,1935238,0.97,1870786,3806024
2007-06-14,2434800,0.79,1931739,4366539
2007-06-15,2374754,1.03,2453341,4828095
2007-06-18,1569057,0.93,1453013,3022070
2007-06-19,1495023,0.88,1312911,2807934
2007-06-20,1720030,1.06,1817564,3537594
2007-06-21,1526863,0.98,1501684,3028547
2007-06-22,1481114,1.03,1523771,3004885
2007-06-25,1328720,1.14,1515516,2844236
2007-06-26,1383891,1.13,1560031,2943922
2007-06-27,2111727,0.84,1784387,3896114
2007-06-28,1495587,0.89,1325286,2820873
2007-06-29,1608390,1.03,1649983,3258373
2007-07-02,1226268,0.85,1045963,2272231
2007-07-03,967089,0.93,900204,1867293
2007-07-05,1361094,0.89,1214916,2576010
2007-07-06,1407539,0.87,1219442,2626981
2007-07-09,1449434,0.8,1161908,2611342
2007-07-10,1867818,1,1875284,3743102
2007-07-11,1877758,0.89,1678505,3556263
2007-07-12,2479170,0.77,1898573,4377743
2007-07-13,2050640,0.93,1914384,3965024
2007-07-16,1980160,0.83,1647187,3627347
2007-07-17,2048486,0.92,1890052,3938538
2007-07-18,2257450,1.1,2477106,4734556
2007-07-19,2720952,0.8,2183025,4903977
2007-07-20,2840614,1.22,3467362,6307976
2007-07-23,1902662,0.81,1550012,3452674
2007-07-24,2076273,1.47,3046589,5122862
2007-07-25,2252775,1.05,2375778,4628553
2007-07-26,2758587,1.52,4192524,6951111
2007-07-27,2240328,1.41,3148306,5388634
2007-07-30,2371270,1.16,2746403,5117673
2007-07-31,2400553,1.27,3038430,5438983
2007-08-01,2360170,1.35,3188330,5548500
2007-08-02,2075042,1.1,2285792,4360834
2007-08-03,2088338,1.44,3017608,5105946
2007-08-06,2467163,1.28,3167555,5634718
2007-08-07,2418983,1.06,2552720,4971703
2007-08-08,2896492,1.01,2914587,5811079
2007-08-09,2496152,1.13,2813961,5310113
2007-08-10,2904177,1.11,3235014,6139191
2007-08-13,2186225,1.02,2224310,4410535
2007-08-14,2020656,1.4,2826767,4847423
2007-08-15,2364789,1.49,3514506,5879295
2007-08-16,3691488,1.5,5553244,9244732
2007-08-17,3090275,1.24,3826832,6917107
2007-08-20,1879991,0.91,1706655,3586646
2007-08-21,1851935,0.9,1675379,3527314
2007-08-22,1853957,1.09,2027300,3881257
2007-08-23,1493203,1.15,1710726,3203929
2007-08-24,1457568,1.06,1547173,3004741
2007-08-27,1276699,1,1270368,2547067
2007-08-28,1573088,1.29,2031713,3604801
2007-08-29,1509961,0.96,1445889,2955850
2007-08-30,1329158,0.93,1235745,2564903
2007-08-31,1212841,1.06,1281216,2494057
2007-09-04,1662773,1.07,1775664,3438437
2007-09-05,1615736,1.12,1815760,3431496
2007-09-06,1351329,0.88,1184533,2535862
2007-09-07,1568479,1.18,1857758,3426237
2007-09-10,1409855,1.15,1619725,3029580
2007-09-11,1478336,1.06,1563400,3041736
2007-09-12,1591179,0.87,1378521,2969700
2007-09-13,1477546,1.03,1523092,3000638
2007-09-14,1325023,1.1,1450942,2775965
2007-09-17,1549928,1.03,1592918,3142846
2007-09-18,2473391,1.03,2556659,5030050
2007-09-19,2973604,0.96,2858688,5832292
2007-09-20,2438279,1.01,2471582,4909861
2007-09-21,2386971,0.85,2028640,4415611
2007-09-24,1959485,0.84,1639492,3598977
2007-09-25,1562090,1.13,1768803,3330893
